time,curr_cmd0,curr_cmd1,curr_cmd2,curr_cmd3,curr_cmd4,curr_cmd5,curr_cmd6
1536128082.917256137,0.949475,-0.236277,-1.35303,-0.406173,-0.529923,-0.0821116,-0.0610562
1536128082.925330200,0.939954,-0.215299,-1.31387,-0.3774,-0.501957,-0.0758793,-0.0622195
1536128082.933340339,0.968129,-0.232616,-1.30283,-0.389417,-0.511646,-0.0789499,-0.0625592
1536128082.941389864,0.957772,-0.220453,-1.26076,-0.359426,-0.485165,-0.077763,-0.0621765
1536128082.949405731,0.943598,-0.20709,-1.21263,-0.330656,-0.456194,-0.0762802,-0.0639644
1536128082.957490570,0.951849,-0.220808,-1.19763,-0.341331,-0.464065,-0.0790028,-0.0658949
1536128082.965345716,0.936659,-0.21567,-1.1579,-0.320516,-0.440902,-0.073091,-0.0678568
1536128082.973439710,0.948222,-0.224266,-1.14293,-0.329628,-0.441803,-0.0668985,-0.0691019
1536128082.981603105,0.945148,-0.211666,-1.1033,-0.309469,-0.416178,-0.0585724,-0.0696434
1536128082.989617117,0.937393,-0.19836,-1.06714,-0.291085,-0.390688,-0.0495642,-0.0719811
1536128082.997626674,0.943857,-0.20113,-1.04874,-0.291763,-0.387394,-0.0445331,-0.0750577
1536128083.005829338,0.946335,-0.189776,-1.01585,-0.273666,-0.366456,-0.0409442,-0.0749497
1536128083.014149585,0.94792,-0.188575,-1.00287,-0.270531,-0.353429,-0.0430639,-0.0747699
1536128083.022270412,0.934612,-0.175067,-0.971925,-0.247597,-0.334749,-0.0421606,-0.0768478
1536128083.030254856,0.925912,-0.164139,-0.951509,-0.230549,-0.318305,-0.0413189,-0.075893
1536128083.038348500,0.918542,-0.158331,-0.938318,-0.223991,-0.309853,-0.0420226,-0.0765621
1536128083.046358771,0.907881,-0.150523,-0.917884,-0.209888,-0.292692,-0.0421152,-0.0771685
1536128083.054433656,0.894184,-0.139353,-0.904651,-0.20021,-0.280239,-0.0410617,-0.079216
1536128083.062598819,0.894507,-0.136153,-0.892888,-0.188291,-0.264749,-0.0398766,-0.0786755
1536128083.070597568,0.882752,-0.127286,-0.892117,-0.181122,-0.256167,-0.0385512,-0.079398
1536128083.078722314,0.875535,-0.117981,-0.880488,-0.167994,-0.245224,-0.0393822,-0.0776833
1536128083.086897995,0.872979,-0.111592,-0.876522,-0.161746,-0.231791,-0.0394122,-0.0794871
1536128083.094963338,0.866589,-0.0987901,-0.87014,-0.145923,-0.222345,-0.0385117,-0.0801087
1536128083.103119115,0.864905,-0.0838897,-0.868061,-0.141614,-0.215732,-0.0361149,-0.0809197
1536128083.111216750,0.862219,-0.0766212,-0.873757,-0.132576,-0.213158,-0.0372008,-0.080799
1536128083.119210406,0.855628,-0.0645696,-0.874269,-0.122122,-0.204325,-0.036418,-0.0809167
1536128083.127273620,0.854578,-0.0552816,-0.866116,-0.117578,-0.198214,-0.0363065,-0.0813877
1536128083.135357265,0.855281,-0.0503632,-0.862351,-0.106125,-0.19633,-0.0336731,-0.0817213
1536128083.143367701,0.856156,-0.0411498,-0.868941,-0.0992852,-0.187375,-0.0353521,-0.080171
1536128083.151398693,0.856172,-0.0296438,-0.872174,-0.0998318,-0.178119,-0.0358798,-0.081783
1536128083.159468380,0.857965,-0.0236708,-0.873849,-0.0975946,-0.175507,-0.0349037,-0.0810022
1536128083.167658713,0.857861,-0.022862,-0.869862,-0.089202,-0.169579,-0.0345849,-0.0779691
1536128083.175871099,0.865251,-0.0216944,-0.866805,-0.0845708,-0.15788,-0.0351956,-0.0734822
1536128083.183912733,0.867127,-0.0199718,-0.871685,-0.0798082,-0.152186,-0.0353571,-0.0642386
1536128083.191968105,0.865324,-0.0104669,-0.879162,-0.0739783,-0.150355,-0.035306,-0.0622454
1536128083.199931916,0.872783,-0.00288272,-0.885784,-0.0669057,-0.147109,-0.0354286,-0.0619121
1536128083.208038168,0.874752,-0.000842299,-0.889584,-0.0630687,-0.140023,-0.0347291,-0.0621253
1536128083.216249644,0.877636,-0.00348875,-0.893302,-0.0609218,-0.136106,-0.0343023,-0.0631523
1536128083.224281304,0.875022,-0.00441715,-0.895226,-0.0616678,-0.132918,-0.0338215,-0.0616244
1536128083.232387529,0.877007,-0.00623842,-0.896461,-0.0599514,-0.131028,-0.0329618,-0.0631266
1536128083.240329939,0.880876,-0.00733515,-0.898116,-0.0586197,-0.130686,-0.0331466,-0.0623441
1536128083.248387805,0.881043,-0.00734631,-0.899513,-0.0533115,-0.129631,-0.0324082,-0.0629678
1536128083.256415438,0.878431,-0.00632903,-0.900744,-0.0446593,-0.125443,-0.0327881,-0.0634541
1536128083.264434936,0.877718,-0.00727033,-0.900623,-0.0408936,-0.115858,-0.0327012,-0.0618583
1536128083.272565682,0.881648,-0.00663642,-0.899823,-0.0389862,-0.109427,-0.0316998,-0.0616518
1536128083.280646402,0.87912,-0.00413362,-0.89688,-0.0406281,-0.108225,-0.0326899,-0.0629255
1536128083.288790660,0.878381,-0.0030123,-0.893821,-0.0396931,-0.110441,-0.0319407,-0.0635688
1536128083.296963012,0.87858,-0.000545767,-0.884766,-0.039975,-0.112668,-0.0309545,-0.0629768
1536128083.305010552,0.878753,-0.000100655,-0.868577,-0.0398835,-0.114394,-0.031383,-0.0626429
1536128083.313075704,0.882677,0.000817771,-0.862059,-0.0390955,-0.11493,-0.0305664,-0.0637236
1536128083.321299080,0.882972,0.00375507,-0.861511,-0.0370744,-0.113602,-0.0289926,-0.0649112
1536128083.329509409,0.879556,0.00426776,-0.863395,-0.0339478,-0.111498,-0.0307656,-0.0630767
1536128083.337771858,0.877979,0.00286891,-0.865341,-0.0312585,-0.105927,-0.0314125,-0.0643834
1536128083.345915121,0.876387,0.00356872,-0.865674,-0.0278479,-0.101413,-0.0293957,-0.0634741
1536128083.353997248,0.872027,0.00119611,-0.863619,-0.0260639,-0.0926694,-0.0297517,-0.0639747
1536128083.362121487,0.872282,0.00135725,-0.865879,-0.025116,-0.0896929,-0.0297162,-0.064937
1536128083.370355776,0.870677,0.00120598,-0.865374,-0.025132,-0.0864895,-0.0268845,-0.0645657
1536128083.378377272,0.868125,-1.91979e-05,-0.866106,-0.0252029,-0.0856524,-0.0272442,-0.0650526
1536128083.386614375,0.863721,0.000509092,-0.867763,-0.0269023,-0.0876056,-0.0268631,-0.0656427
1536128083.394803048,0.865756,0.000226816,-0.868247,-0.0267409,-0.0885845,-0.0267553,-0.0670509
1536128083.402988518,0.86319,0.000751507,-0.868747,-0.027569,-0.0891446,-0.0269206,-0.0662944
1536128083.411035680,0.862473,0.00131639,-0.869117,-0.0282293,-0.0894623,-0.0272142,-0.0646452
1536128083.419071781,0.860906,0.00131687,-0.869993,-0.0292433,-0.0903513,-0.0261501,-0.0648858
